source_title_en,source_url,source_title_cn
36777-f00_2.pdf,,3GPP TR 36.777：增强 LTE 支持无人机研究（节选）
47 CFR 15.247 (up to date as of 12-29-2025).pdf,,美国联邦法规 47 CFR §15.247（扩频/数字调制设备）
47 CFR §15.247 (FHSS/DTS/Hybrid) – time of occupancy limit,https://www.ecfr.gov/current/title-47/chapter-I/subchapter-A/part-15/subpart-C/section-15.247,47 CFR §15.247 (FHSS/DTS/Hybrid) – time of occupancy limit
"Ahmad et al., EURASIP Journal on Wireless Communications and Networking (2012) – full/finite buffer traffic models",https://link.springer.com/content/pdf/10.1186/1687-1499-2012-61.pdf,"Ahmad et al., EURASIP Journal on Wireless Communications and Networking (2012) – full/finite buffer traffic models"
An Analysis of Millions of Wi-Fi Access Points.pdf,,数百万 Wi‑Fi 接入点的分析
Crosta_Jammertest23_NID2023.pdf,,GNSS 干扰测试报告（Jammertest23）
Dominance of Smartphone Exposure.pdf,,智能手机电磁暴露主导性研究
ETSI TR 138 913 (3GPP TR 38.913),https://www.etsi.org/deliver/etsi_tr/138900_138999/138913/18.00.00_60/tr_138913v180000p.pdf,ETSI TR 138 913 (3GPP TR 38.913)
ETSI TR 138 913 (3GPP TR 38.913) – 5G requirements & deployment scenarios,https://www.etsi.org/deliver/etsi_tr/138900_138999/138913/18.00.00_60/tr_138913v180000p.pdf,ETSI TR 138 913 (3GPP TR 38.913) – 5G requirements & deployment scenarios
IS-GPS-200D.pdf,,GPS 接口规范 IS‑GPS‑200D
Joint data rate and EMF exposure analysis in.pdf,,数据速率与 EMF 暴露的联合分析
LoRa Alliance – LoRaWAN Regional Parameters (RP002),https://lora-alliance.org/wp-content/uploads/2019/11/rp_2-1.0.0_final_release.pdf,LoRa Alliance – LoRaWAN Regional Parameters (RP002)
Measurements and analysis of temporal and spatial variability of WiFi.pdf,,WiFi 时空变化的测量与分析
Modeling dense urban wireless networks with 3D stochastic.pdf,,基于三维随机几何的致密城市场景无线网络建模
NJT5307-4W KU-Band BUC.pdf,,Ku 波段 4W BUC（上变频器）规格书
Nature Scientific Data (2025) – LoRaWAN data set with ground & aerial gateways,https://www.nature.com/articles/s41597-025-05802-2.pdf,Nature Scientific Data (2025) – LoRaWAN data set with ground & aerial gateways
Nature Scientific Data (2025) – LoRaWAN gateway altitude statement,https://www.nature.com/articles/s41597-025-05802-2.pdf,Nature Scientific Data (2025) – LoRaWAN gateway altitude statement
Nature Scientific Data (2025) – LoRaWAN ground vs UAV gateway heights,https://www.nature.com/articles/s41597-025-05802-2.pdf,Nature Scientific Data (2025) – LoRaWAN ground vs UAV gateway heights
R-REC-P.1238-13-202509-I!!PDF-E.pdf,,ITU‑R P.1238：室内无线系统的传播数据与预测方法
"Reliability of Wi-Fi, LTE, and 5G-Based UAV RC.pdf",,基于 Wi‑Fi/LTE/5G 的无人机遥控链路可靠性研究
"Shepard et al., 'Characterization of GPS Jammers' (GPS World)",https://rnl.ae.utexas.edu/images/stories/files/papers/jammerCharacterizationGPSWorld_Mitch.pdf,"Shepard et al., 'Characterization of GPS Jammers' (GPS World)"
"Shepard et al., 'Characterization of GPS Jammers' (GPS World, UT Austin RNL PDF)",https://rnl.ae.utexas.edu/images/stories/files/papers/jammerCharacterizationGPSWorld_Mitch.pdf,"Shepard et al., 'Characterization of GPS Jammers' (GPS World, UT Austin RNL PDF)"
Unveiling Passive and Active EMF Exposure in.pdf,,揭示被动与主动电磁场暴露（EMF）研究
,,
