x_m,y_m,z_m,margin_db,sinr_db,rate_bps,outage,i_dbm,p_rx_dbm,ee_bpj
91.10116326967287,495.05470103383675,29.936,4.441482361085477,4.441482361085477,191863895.82894486,0.0,-65.34500806530029,-60.87395879460317,1018155.5139812417
214.61717725575897,70.55404759414333,29.936,-6.931774623938324,-6.931774623938324,26625934.97147421,1.0,-47.701389848799266,-54.63265408788506,141294.652592073
197.34542909341366,500.2846416630825,29.936,5.938527316772962,5.938527316772962,230015832.80964875,0.0,-63.61420241007353,-57.65580450870692,1220614.683478145
144.2798622237824,243.43255290158254,29.936,0.6691831027962678,0.6691831027962681,111542627.63067493,0.0,-56.525213082585694,-55.85213853357061,591918.2495250631
331.9363563016581,443.31545488240675,29.936,12.080746802688225,12.080746802688225,409983058.7290465,0.0,-63.601897629633015,-51.501336333555116,2175638.6738650827
126.34567024562578,300.8593849078915,29.936,-1.6089239073033852,-1.6089239073033847,75737393.44034083,1.0,-55.249368876206326,-56.855391593780126,401912.2222692637
360.28116516981083,558.6917252646801,29.936,9.962792649951297,9.962792649951297,344819962.80831045,0.0,-65.26445031558991,-55.27263232884515,1829840.601053424
591.9901446817211,223.8930493673284,29.936,30.4976160645068,30.4976160645068,1013237469.9209394,0.0,-70.55805621039939,-39.96300645823061,5376901.748581993
86.96161561232402,290.43111296064694,29.936,4.527972801166996,4.527972801166996,193982634.87123492,0.0,-62.95485237835131,-58.40980242645014,1029398.9312446867
15.98956098461399,76.85420159493626,29.936,1.4304839831767069,1.430483983176707,125707553.07161433,0.0,-63.276658676003585,-61.827786863541974,667086.6228165319
